"taxa","family","genus","lme","rank","survey"
"Callionymus lyra","Callionymidae","Callionymus","22","Species","BITS"
"Limanda limanda","Pleuronectidae","Limanda","22","Species","BITS"
"Solea solea","Soleidae","Solea","22","Species","BITS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","22","Species","BITS"
"Trisopterus minutus","Gadidae","Trisopterus","23","Species","BITS"
"Cyclopterus lumpus","Cyclopteridae","Cyclopterus","23","Species","BITS"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","23","Species","BITS"
"Microstomus kitt","Pleuronectidae","Microstomus","23","Species","BITS"
"Pollachius virens","Gadidae","Pollachius","23","Species","BITS"
"Merluccius merluccius","Merlucciidae","Merluccius","23","Species","BITS"
"Anguilla anguilla","Anguillidae","Anguilla","23","Species","BITS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","23","Species","BITS"
"Salmo trutta trutta","Salmonidae","Salmo","23","Subspecies","BITS"
"Trisopterus esmarkii","Gadidae","Trisopterus","23","Species","BITS"
"Scomber scombrus","Scombridae","Scomber","23","Species","BITS"
"Osmerus eperlanus","Osmeridae","Osmerus","23","Species","BITS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","23","Species","BITS"
