haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Gadus Atlantica -5-54-1983-01-12 -12:29:00
Gadus Atlantica -5-55-1983-01-12 -14:47:00
Gadus Atlantica -5-56-1983-01-12 -16:42:00
Gadus Atlantica -5-57-1983-01-12 -19:36:00
Gadus Atlantica -5-58-1983-01-12 -21:07:00
Gadus Atlantica -5-59-1983-01-12 -23:35:00
Gadus Atlantica -5-60-1983-01-13 -01:25:00
Gadus Atlantica -5-61-1983-01-13 -03:41:00
Gadus Atlantica -5-62-1983-01-13 -04:52:00
Gadus Atlantica -5-63-1983-01-13 -09:08:00
Gadus Atlantica -5-64-1983-01-13 -10:54:00
Gadus Atlantica -5-65-1983-01-13 -12:30:00
Gadus Atlantica -5-67-1983-01-13 -21:53:00
Gadus Atlantica -5-68-1983-01-14 -00:03:00
Gadus Atlantica -5-69-1983-01-14 -02:57:00
Gadus Atlantica -5-70-1983-01-14 -04:36:00
Gadus Atlantica -5-71-1983-01-14 -06:30:00
Gadus Atlantica -5-72-1983-01-14 -08:12:00
Gadus Atlantica -5-73-1983-01-14 -09:45:00
Gadus Atlantica -5-74-1983-01-14 -11:19:00
Gadus Atlantica -5-75-1983-01-14 -13:02:00
Gadus Atlantica -5-76-1983-01-14 -14:43:00
Gadus Atlantica -5-77-1983-01-14 -16:42:00
Gadus Atlantica -5-78-1983-01-14 -22:29:00
Gadus Atlantica -5-79-1983-01-14 -00:40:00
Gadus Atlantica -5-80-1983-01-15 -02:18:00
Gadus Atlantica -5-81-1983-01-15 -03:37:00
Gadus Atlantica -5-82-1983-01-15 -05:05:00
Gadus Atlantica -5-83-1983-01-15 -07:07:00
Gadus Atlantica -5-84-1983-01-15 -08:49:00
Gadus Atlantica -5-85-1983-01-15 -11:21:00
Gadus Atlantica -5-86-1983-01-15 -14:00:00
Gadus Atlantica -5-87-1983-01-15 -15:59:00
Gadus Atlantica -5-88-1983-01-15 -18:26:00
Gadus Atlantica -5-89-1983-01-15 -20:30:00
Gadus Atlantica -5-90-1983-01-15 -22:18:00
Gadus Atlantica -5-91-1983-01-15 -23:49:00
Gadus Atlantica -5-92-1983-01-16 -01:02:00
Gadus Atlantica -5-94-1983-01-16 -04:21:00
Gadus Atlantica -5-95-1983-01-16 -05:44:00
Gadus Atlantica -5-96-1983-01-16 -07:17:00
Gadus Atlantica -5-97-1983-01-16 -08:46:00
Gadus Atlantica -5-98-1983-01-16 -10:05:00
Gadus Atlantica -5-99-1983-01-16 -11:50:00
Gadus Atlantica -5-101-1983-01-19 -01:57:00
Gadus Atlantica -5-102-1983-01-19 -03:05:00
Gadus Atlantica -5-103-1983-01-19 -04:32:00
Gadus Atlantica -5-104-1983-01-19 -06:25:00
Gadus Atlantica -5-105-1983-01-19 -08:29:00
Gadus Atlantica -5-109-1983-01-19 -20:19:00
Gadus Atlantica -5-110-1983-01-19 -23:04:00
Gadus Atlantica -5-111-1983-01-20 -01:00:00
Gadus Atlantica -5-112-1983-01-20 -02:30:00
Gadus Atlantica -5-113-1983-01-20 -03:36:00
Gadus Atlantica -5-114-1983-01-20 -05:40:00
Gadus Atlantica -5-115-1983-01-20 -07:48:00
Gadus Atlantica -5-116-1983-01-20 -11:30:00
Gadus Atlantica -5-117-1983-01-20 -13:19:00
Gadus Atlantica -5-118-1983-01-21 -17:23:00
Gadus Atlantica -5-119-1983-01-21 -19:32:00
Gadus Atlantica -5-120-1983-01-21 -22:09:00
Gadus Atlantica -5-121-1983-01-21 -23:54:00
Gadus Atlantica -5-122-1983-01-22 -01:40:00
Gadus Atlantica -5-123-1983-01-22 -04:00:00
Gadus Atlantica -5-124-1983-01-22 -05:51:00
Gadus Atlantica -5-125-1983-01-22 -07:40:00
Gadus Atlantica -5-126-1983-01-22 -10:10:00
Gadus Atlantica -5-127-1983-01-22 -12:30:00
Gadus Atlantica -5-128-1983-01-22 -14:15:00
Gadus Atlantica -5-129-1983-01-22 -16:25:00
Gadus Atlantica -5-130-1983-01-22 -18:40:00
Gadus Atlantica -5-131-1983-01-22 -21:06:00
Gadus Atlantica -5-132-1983-01-23 -00:01:00
Gadus Atlantica -5-133-1983-01-23 -01:25:00
Gadus Atlantica -5-134-1983-01-23 -03:06:00
Gadus Atlantica -5-135-1983-01-23 -05:11:00
Gadus Atlantica -5-136-1983-01-23 -07:12:00
Gadus Atlantica -5-137-1983-01-23 -08:55:00
Gadus Atlantica -5-138-1983-01-23 -11:15:00
Gadus Atlantica -5-139-1983-01-23 -12:41:00
Gadus Atlantica -5-140-1983-01-23 -15:37:00
Gadus Atlantica -5-141-1983-01-23 -16:59:00
Gadus Atlantica -5-142-1983-01-23 -19:04:00
Gadus Atlantica -5-143-1983-01-23 -20:57:00
Gadus Atlantica -5-144-1983-01-23 -22:34:00
Gadus Atlantica -5-146-1983-01-24 -02:11:00
Gadus Atlantica -5-147-1983-01-24 -04:10:00
Gadus Atlantica -5-148-1983-01-24 -06:12:00
Gadus Atlantica -5-149-1983-01-24 -07:30:00
Gadus Atlantica -5-150-1983-01-24 -09:04:00
Gadus Atlantica -5-151-1983-01-24 -10:52:00
Gadus Atlantica -5-153-1983-01-24 -13:25:00
Gadus Atlantica -5-154-1983-01-24 -15:52:00
Gadus Atlantica -5-155-1983-01-24 -18:10:00
Gadus Atlantica -5-156-1983-01-24 -20:07:00
Gadus Atlantica -5-157-1983-01-24 -22:23:00
Gadus Atlantica -5-158-1983-01-25 -00:12:00
Gadus Atlantica -5-159-1983-01-25 -02:10:00
Gadus Atlantica -5-160-1983-01-25 -05:08:00
Gadus Atlantica -5-161-1983-01-25 -06:53:00
Gadus Atlantica -5-162-1983-01-25 -08:38:00
Gadus Atlantica -5-163-1983-01-25 -12:14:00
Gadus Atlantica -5-164-1983-01-25 -16:29:00
Gadus Atlantica -5-165-1983-01-25 -18:39:00
Gadus Atlantica -5-166-1983-01-25 -21:26:00
Gadus Atlantica -5-167-1983-01-25 -23:10:00
Gadus Atlantica -5-168-1983-01-26 -01:16:00
Gadus Atlantica -5-169-1983-01-26 -04:03:00
Gadus Atlantica -5-170-1983-01-26 -05:54:00
